title,sold,commentCount,item_id,shipping,fastPostFee,userId,nick,userType,isB2c,location,sellerLoc,pic_path,type,tItemType,zkType,zkGroup,priceColor,priceWithRate,auctionURL,isP4p,itemNumId,originalPrice,freight,act,coinLimit,priceWap,price,category,auctionType,url,img2,wwimUrl,previewUrl,favoriteUrl,isMobileEcard,iswebp,name,iconList,icons,area
空气清新剂卫生间卧室持久留香室内熏香厕所,41979,,569753598854,0.00,0.00,2873324802,宜芬旗舰店,1,1,广东 广州,广东 广州,https://img.alicdn.com/imgextra/i4/116521093/O1CN01Fh9vk81JwdN816zmi_!!0-saturn_solar.jpg_60x60.jpg,fixed,nt_auction,手机专享价,66,#000000,19.90,https://mclick.simba.taobao.com/cc_im?p=%BF%D5%C6%F8%C7%E5%D0%C2%C6%F7&s=1188053417&k=673&e=qTN8G2Vkyr%2BZyB5d1eZnBFZjaEUpWClY%2Fi0Hf8OCWYMJoH%2BEAukgQrbzGmtVzQyp4lnviwAzxUyZah4AUoo%2BjRaUUkPacn%2B6lsIh1n9r%2FN4D%2BVfTDIpDjJI7yALPvyMpwXhfHsMYLOWelSdzCnn1TdCahC0uDbY0FhsVOgOGc83AY8MVDmuIVChpExRpl8eTrOCIia1hoP4VAptJFRJmAungc%2F8P1aJNiuxFpWi6umhHb%2F06RyteqVZEHIZsICw5NYhcP320OydKtPakR5AeCTgc5fHpwYsVI8eoPH2MbJDg%2FSHkY18D3ewKeQemDX0nDvlRRf%2BQJowAN9P6J%2FqHCR6AYnmei4%2B2AFSukmJhKrzAPyWXH%2FWJ9OHaOxiW6W7cxI08Dm8MllS2HOOkYmKgwXFw35NWT619guYXJRm13V2KplqRjtOeKtKyISzu8xsW%2BfieaBXRobde3DaGU16JoYB3Yz1bgqYi23IgLsHtgekR99kBC9qkNy3ZDU1AwxIBgP4EKxwGxR52S1oVQM6rvmuEpojqGoFt3wFFcDGmIuoJsOCqCzxubYqmWpGO054q5HyEFffHnAIe%2FdffgW%2BzEEiMmoCx9s0IWT07C2Leq6ZmdEgp0Bj18xHf0DUszRNTSlOtCnhEl399UIxqmOhVqbAbEBWYGFfm,true,569753598854,99.00,0.00,41979,0,19.90,19.90,,,https://mclick.simba.taobao.com/cc_im?p=%BF%D5%C6%F8%C7%E5%D0%C2%C6%F7&s=1188053417&k=673&e=qTN8G2Vkyr%2BZyB5d1eZnBFZjaEUpWClY%2Fi0Hf8OCWYMJoH%2BEAukgQrbzGmtVzQyp4lnviwAzxUyZah4AUoo%2BjRaUUkPacn%2B6lsIh1n9r%2FN4D%2BVfTDIpDjJI7yALPvyMpwXhfHsMYLOWelSdzCnn1TdCahC0uDbY0FhsVOgOGc83AY8MVDmuIVChpExRpl8eTrOCIia1hoP4VAptJFRJmAungc%2F8P1aJNiuxFpWi6umhHb%2F06RyteqVZEHIZsICw5NYhcP320OydKtPakR5AeCTgc5fHpwYsVI8eoPH2MbJDg%2FSHkY18D3ewKeQemDX0nDvlRRf%2BQJowAN9P6J%2FqHCR6AYnmei4%2B2AFSukmJhKrzAPyWXH%2FWJ9OHaOxiW6W7cxI08Dm8MllS2HOOkYmKgwXFw35NWT619guYXJRm13V2KplqRjtOeKtKyISzu8xsW%2BfieaBXRobde3DaGU16JoYB3Yz1bgqYi23IgLsHtgekR99kBC9qkNy3ZDU1AwxIBgP4EKxwGxR52S1oVQM6rvmuEpojqGoFt3wFFcDGmIuoJsOCqCzxubYqmWpGO054q5HyEFffHnAIe%2FdffgW%2BzEEiMmoCx9s0IWT07C2Leq6ZmdEgp0Bj18xHf0DUszRNTSlOtCnhEl399UIxqmOhVqbAbEBWYGFfm,//img.alicdn.com/imgextra/i4/116521093/O1CN01Fh9vk81JwdN816zmi_!!0-saturn_solar.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=569753598854&amp;to_user=0su30sbsvaK16g%3D%3D,//a.m.taobao.com/ajax/pre_view.do?itemId=569753598854&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=569753598854,false,,空气清新剂卫生间卧室持久留香室内熏香厕所,,,广州
TCL空气净化器家用卧室室内负离子除烟除尘甲醛雾霾PM2.5带加湿机,3496,1634,536240802814,0.00,0.00,2382159330,恋家居电器专营店,1,1,北京,广东省 深圳市,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2382159330/O1CN01DTuCjT2InBlnnhTuG_!!0-item_pic.jpg_60x60.jpg,fixed,nt_auction,优惠促销,,#000000,,,false,536240802814,2758.00,0.00,3496,0,1199.00,1199.00,350402,b,//detail.m.tmall.com/item.htm?id=536240802814&abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw3.alicdn.com/bao/uploaded/i4/2382159330/O1CN01DTuCjT2InBlnnhTuG_!!0-item_pic.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=536240802814&amp;to_user=wbW80r7TtefG99eo06q16g%3D%3D,//a.m.taobao.com/ajax/pre_view.do?itemId=536240802814&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=536240802814,false,,TCL空气净化器家用卧室室内负离子除烟除尘甲醛雾霾PM2.5带加湿机,,[],北京
亚都空气净化器家用除甲醛卧室氧吧负离子杀菌去甲醛雾霾二手烟,3326,4204,569792485109,0.00,0.00,3166636802,yadu亚都臻美专卖店,1,1,江苏 无锡,,http://g.search1.alicdn.com/img/bao/uploaded/i4/i2/3166636802/O1CN01sUtXte207MVvhKNDc_!!0-item_pic.jpg_60x60.jpg,fixed,nt_auction,聚划算,,#000000,,,false,569792485109,1999.00,0.00,3326,0,999.00,999.00,350402,b,//detail.m.tmall.com/item.htm?id=569792485109&abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw3.alicdn.com/bao/uploaded/i2/3166636802/O1CN01sUtXte207MVvhKNDc_!!0-item_pic.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=569792485109&amp;to_user=eWFkddHHtrzV6cPA16jC9LXq,//a.m.taobao.com/ajax/pre_view.do?itemId=569792485109&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=569792485109,false,,亚都空气净化器家用除甲醛卧室氧吧负离子杀菌去甲醛雾霾二手烟,,[],无锡
TCL空气净化器家用除甲醛卧室室内负离子氧吧除雾霾除尘烟PM2.5,2738,1012,565143662630,0.00,0.00,2726580903,tcl鼎诚华宇专卖店,1,1,广东 深圳,440000 440300,http://g.search1.alicdn.com/img/bao/uploaded/i4/i2/2726580903/O1CN01hZXu9X1IXc7qzZg0y_!!2726580903.jpg_60x60.jpg,fixed,nt_auction,狂欢大促,,#000000,,,false,565143662630,1899.00,0.00,2738,0,1099.00,1099.00,350402,b,//detail.m.tmall.com/item.htm?id=565143662630&abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw1.alicdn.com/bao/uploaded/i3/2726580903/O1CN01qoW2tT1IXc7qzZ8nI_!!0-item_pic.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=565143662630&amp;to_user=dGNstqazz7uq0%2B7XqML0teo%3D,//a.m.taobao.com/ajax/pre_view.do?itemId=565143662630&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=565143662630,false,,TCL空气净化器家用除甲醛卧室室内负离子氧吧除雾霾除尘烟PM2.5,,[],深圳
美的空气净化器家用去除甲醛二手烟pm2.5雾尘卧室客厅净化机E33,970,14218,530465483075,0.00,0.00,2616100841,美的空气净化器旗舰店,1,1,上海,上海 上海,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2616100841/O1CN01VhheJj1I5DZR2eGVF_!!0-item_pic.jpg_60x60.jpg,fixed,nt_auction,聚划算,,#000000,,,false,530465483075,3999.00,0.00,970,0,1998.00,1998.00,350402,b,//detail.m.tmall.com/item.htm?id=530465483075&abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw3.alicdn.com/bao/uploaded/i4/2616100841/O1CN01VhheJj1I5DZR2eGVF_!!0-item_pic.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=530465483075&amp;to_user=w8C1xL%2FVxvi%2Bu7uvxvfG7L2iteo%3D,//a.m.taobao.com/ajax/pre_view.do?itemId=530465483075&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=530465483075,false,,美的空气净化器家用去除甲醛二手烟pm2.5雾尘卧室客厅净化机E33,,[],上海
德国无耗材空气净化器家用卧室除甲醛雾霾pm2.5烟静电负离子智能,961,1339,41176415662,0.00,0.00,873365485,尤茜茜3034358,0,0,北京,,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/873365485/O1CN017ai8D41qOAtj3hgz4_!!873365485.jpg_60x60.jpg,fixed,nt_auction,抢购价,,#000000,,,false,41176415662,3660.00,0.00,961,200,1880.00,1880.00,350402,b,//a.m.taobao.com/i41176415662.htm?abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw2.alicdn.com/bao/uploaded/i2/873365485/O1CN017ai8D41qOAtj3hgz4_!!873365485.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=41176415662&amp;to_user=08jc59znMzAzNDM1OA%3D%3D,//a.m.taobao.com/ajax/pre_view.do?itemId=41176415662&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=41176415662,false,,德国无耗材空气净化器家用卧室除甲醛雾霾pm2.5烟静电负离子智能,,[],北京
美国OION急速空气净化器家用除甲醛 除烟尘雾霾PM2.5卧室 氧吧,813,1423,560539642139,0.00,0.00,386487865,cwwsdw,0,0,浙江 金华,,http://g.search.alicdn.com/img/bao/uploaded/i4/i1/386487865/O1CN01p53F9f27yDXGEcFsL_!!386487865.jpg_60x60.jpg,fixed,nt_auction,品牌促销,,#000000,,,false,560539642139,3000.00,0.00,813,200,1580.00,1580.00,350402,b,//a.m.taobao.com/i560539642139.htm?abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw2.alicdn.com/bao/uploaded/i1/386487865/O1CN01p53F9f27yDXGEcFsL_!!386487865.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=560539642139&amp;to_user=Y3d3c2R3,//a.m.taobao.com/ajax/pre_view.do?itemId=560539642139&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=560539642139,false,,美国OION急速空气净化器家用除甲醛 除烟尘雾霾PM2.5卧室 氧吧,,[],金华
美国OION空气净化器家用除甲醛 除烟尘雾霾PM2.5卧室净化机氧吧,1653,3822,41272161429,0.00,0.00,169284981,sk1989424,0,0,浙江 金华,,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/169284981/O1CN0178uT6K1mfLHS9Kthc_!!169284981.jpg_60x60.jpg,fixed,nt_auction,节日大促,,#000000,,,false,41272161429,1725.00,0.00,1653,0,1180.00,1180.00,350402,b,//a.m.taobao.com/i41272161429.htm?abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw1.alicdn.com/bao/uploaded/i2/169284981/O1CN0178uT6K1mfLHS9Kthc_!!169284981.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=41272161429&amp;to_user=c2sxOTg5NDI0,//a.m.taobao.com/ajax/pre_view.do?itemId=41272161429&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=41272161429,false,,美国OION空气净化器家用除甲醛 除烟尘雾霾PM2.5卧室净化机氧吧,,[],金华
AIRG空气净化器家用除甲醛卧室静音除雾霾二手烟PM2.5负离子氧吧,1273,9988,570825226787,0.00,0.00,2659251889,甬文电器企业店,0,0,浙江 宁波,,http://g.search1.alicdn.com/img/bao/uploaded/i4/i4/2659251889/TB2IOLCFntYBeNjy1XdXXXXyVXa_!!2659251889.jpg_60x60.jpg,fixed,nt_auction,抢购价,,#000000,,,false,570825226787,3098.00,0.00,1273,0,499.00,499.00,350402,b,//a.m.taobao.com/i570825226787.htm?abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw3.alicdn.com/bao/uploaded/i4/2659251889/TB2IOLCFntYBeNjy1XdXXXXyVXa_!!2659251889.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=570825226787&amp;to_user=8K7OxLXnxvfG89K1teo%3D,//a.m.taobao.com/ajax/pre_view.do?itemId=570825226787&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=570825226787,false,,AIRG空气净化器家用除甲醛卧室静音除雾霾二手烟PM2.5负离子氧吧,,[],宁波
复旦申花无耗材空气净化器家用卧室内除雾霾PM2.5甲醛烟负离子,769,1808,559286163246,0.00,0.00,2137104119,复旦申花旗舰店,1,1,北京,浙江省 嘉兴市,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2137104119/O1CN01fB7LBu1gIXs5vxKMc_!!0-item_pic.jpg_60x60.jpg,fixed,nt_auction,周年庆,,#000000,,,false,559286163246,3999.00,0.00,769,0,1988.00,1988.00,350402,b,//detail.m.tmall.com/item.htm?id=559286163246&abtest=20&rn=7902a94852d6ef6285a242069606a46e&sid=ae91b3fd74b70377a6c8ac9d98218a70,//gw1.alicdn.com/bao/uploaded/i2/2137104119/O1CN01fB7LBu1gIXs5vxKMc_!!0-item_pic.jpg,//im.m.taobao.com/ww/ad_ww_dialog.htm?item_num_id=559286163246&amp;to_user=uLS1qcnqu6jG7L2iteo%3D,//a.m.taobao.com/ajax/pre_view.do?itemId=559286163246&abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70,//fav.m.taobao.com/favorite/to_collection.htm?abtest=20&sid=ae91b3fd74b70377a6c8ac9d98218a70&itemNumId=559286163246,false,,复旦申花无耗材空气净化器家用卧室内除雾霾PM2.5甲醛烟负离子,,[],北京
